  196;    4
  194;    4
  192;    4
  190;    4
  188;    4
  186;    4
  184;    4
  182;    4
  180;    4
  178;    4
  176;    4
  174;    4
  172;    4
  170;    4
  168;    4
  166;    4
  164;    4
  161;    4
  159;    4
  157;    4
  155;    3
  153;    3
  151;    3
  149;    3
  147;    3
  145;    3
  143;    3
  141;    3
  139;    3
  137;    3
  135;    3
  133;    3
  131;    3
  129;    3
  127;    3
  125;    3
  123;    3
  120;    3
  118;    3
  116;    3
  114;    3
  112;    3
  110;    4
  108;    4
  106;    4
  104;    4
  102;    4
  100;    4
   98;    4
   96;    4
   94;    4
   92;    4
   89;    4
   87;    4
   85;    4
   83;    4
   81;    4
   79;    4
   77;    4
   75;    4
   73;    4
   71;    4
   69;    4
   67;    4
   65;    4
   63;    5
   60;    5
   58;    5
   56;    5
   54;    5
   52;    5
   50;    5
   48;    5
   46;    6
   44;    6
   42;    6
   40;    6
   38;    6
   36;    7
